iter	Passed	Remaining
0	233	11454
1	315	7573
2	399	6264
3	469	5399
4	544	4898
5	614	4505
6	688	4228
7	756	3969
8	865	3943
9	960	3842
10	1034	3668
11	1103	3494
12	1169	3328
13	1245	3202
14	1363	3180
15	1431	3041
16	1510	2931
17	1588	2823
18	1654	2700
19	1734	2601
20	1801	2487
21	1866	2375
22	1937	2274
23	2016	2184
24	2090	2090
25	2171	2004
26	2246	1913
27	2329	1830
28	2413	1747
29	2494	1662
30	2565	1572
31	2632	1480
32	2708	1395
33	2784	1310
34	2850	1221
35	2897	1126
36	2974	1044
37	3051	963
38	3131	883
39	3197	799
40	3268	717
41	3348	637
42	3392	552
43	3477	474
44	3549	394
45	3614	314
46	3660	233
47	3709	154
48	3779	77
49	3846	0
